Summary Results for the application for the date02-10-2022/

Total Profit: 1.8544232253000003E8,Max Profit Store: store10,Min Profit Store:  store3

Product,Total Quantity,Total Profit,Total Sold
p10,32319,2572592.40,7356544.11
p12,31265,1393168.40,3463293.44
p11,30974,3488601.62,10163540.07
p14,32016,3672875.52,7684053.27
p13,31426,2102085.14,3702094.33
p16,32254,4525881.28,11046672.46
p15,31825,5932498.25,12964175.16
p18,32226,6826755.84,15363444.84
p17,31269,4500234.48,5912529.83
p19,31516,3186582.76,6918840.58
p21,31844,5891140.00,14577043.85
p20,31923,3230926.83,7332656.65
p23,32243,3325220.59,8745483.97
p22,31695,5200198.65,10423090.64
p25,31179,3246045.69,5239998.00
p24,31615,5887661.45,10465070.70
p27,31815,2009435.40,5971498.67
p26,31376,812324.64,2327199.52
p29,30923,3385759.27,7364958.62
p28,30833,2401890.70,4702614.91
p0,31020,6241224.00,10143967.79
p1,32119,3251727.56,5612973.80
p2,31407,6653572.95,13013071.86
p3,31597,3324004.40,8509879.45
p4,31627,292233.48,765605.27
p5,31718,1289336.70,3642671.11
p6,30894,2112840.66,5661050.47
p7,31443,4307691.00,8464944.99
p8,31253,10015961.44,14965228.01
p9,31745,1342178.60,2826849.52
p30,31246,2550298.52,6238888.82
p32,31175,474171.75,1194522.06
p31,31753,4373975.75,7079225.35
p34,31161,9159152.73,13862053.93
p33,31774,848683.54,1299146.99
p36,31692,4415646.36,7865292.43
p35,32547,11266469.52,15314810.16
p38,32112,4995342.72,9632337.27
p37,31164,3646188.00,5654222.92
p39,31733,3367188.63,5199557.83
p41,31454,644492.46,887135.54
p40,31769,270989.57,367073.46
p43,32124,3916879.32,6488769.42
p42,31794,4386618.18,7224020.25
p45,30915,2199602.25,6323354.10
p44,32092,2323460.80,5084656.48
p47,31405,7381117.15,9739771.74
p46,31883,1642612.16,3723977.19
p49,31539,1413577.98,4120044.99
p48,31408,3743205.44,10881231.74
